Titre du poste,Entreprise,Ville,Secteur d'activité,Contrat proposé,Niveau d'étude,Expérience,Compétences techniques,Langues,Soft skills,Lien de l'offre,Expérience numérique
(6) Offres d’emploi et stages PFE chez Saint-Gobain – Postulez dès maintenant,Non spécifié,Non spécifié,"Construction, Chimie, Construction, Procédés",Stage,Bac+5,0 à 2 ans,"ERP, SAP","Français, Anglais","Communication, Organisation, Rigueur",https://www.dreamjob.ma/emploi/6-offres-demploi-et-stages-pfe-chez-saint-gobain-postulez-des-maintenant/,1.0
JTEKT recrute des Chargés de Méthodes Assemblage à Tanger – Opportunité en CDI,JTEKT,Tanger,Automobile,CDI,Bac+3,3 ans,AMDEC,Non spécifié,"Innovation, Leadership, Rigueur",https://www.dreamjob.ma/emploi/jtekt-recrute-des-charges-de-methodes-assemblage-a-tanger-opportunite-en-cdi/,3.0
Touax Maroc recrute: plusieurs postes ouverts en 2025,Touax Maroc,Non spécifié,"Construction, Construction, Logistique",Non spécifié,Bac+2,5 ans,"DAO, Excel, Lean, Six sigma",Non spécifié,Communication,https://www.dreamjob.ma/emploi/touax-maroc-recrute-plusieurs-postes-ouverts-en-2025/,5.0
Nestlé recrute: 6 opportunités à pourvoir immédiatement,Nestlé,Non spécifié,"Agroalimentaire, Logistique",Non spécifié,Bac+2,2 ans,"Excel, SAP","Français, Anglais","Autonomie, Communication, Initiative, Innovation, Leadership, Organisation, Relationnel, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/nestle-recrute-6-opportunites-a-pourvoir-immediatement/,2.0
Maghreb Industries recrute Plusieurs Profils sur Nouaceur,Maghreb Industries,Nouaceur,"Agroalimentaire, Logistique, Procédés",CDI,Bac+2,5 ans,"5S, Automatisme, ERP, Excel, Kaizen, Lean, Lean manufacturing","Français, Anglais","Autonomie, Innovation, Leadership, Organisation, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/maghreb-industries-recrute-plusieurs-profils-sur-nouaceur/,5.0
STROC Industrie recrute des stagiaires PFE – Postulez maintenant !,STROC Industrie,Had soualem,Construction,Stage,Bac+4,Non spécifié,Non spécifié,Non spécifié,"Créativité, Rigueur, Travail en équipe",https://www.dreamjob.ma/stage/stroc-industrie-recrute-des-stagiaires-pfe-postulez-maintenant/,
(7) Postes à Pourvoir chez SEGULA Technologies,Non spécifié,Tanger,"Automobile, Aéronautique, Ferroviaire, Logistique, Naval, Énergie",Non spécifié,Bac+5,5 ans,"CAO, CATIA, Creo, ERP, Excel","Français, Anglais","Communication, Gestion de projet, Innovation, Organisation, Rigueur",https://www.dreamjob.ma/emploi/7-postes-a-pourvoir-chez-segula-technologies/,5.0
Nouveaux Postes Disponibles chez Eaton,Non spécifié,Casablanca,"Procédés, Énergie",Non spécifié,Bac+2,5 ans,"AMDEC, SOLIDWORKS",Anglais,"Autonomie, Communication, Créativité, Force de proposition, Organisation",https://www.dreamjob.ma/emploi/nouveaux-postes-disponibles-chez-eaton/,5.0
Nouvelle Vague de Postes Ouverts chez SEBN-Ma à Salé et Tanger,Non spécifié,Tanger,"Automobile, Construction",Non spécifié,Bac+2,2 ans,"Autocad, Conception mécanique","Français, Anglais","Communication, Initiative, Leadership, Organisation",https://www.dreamjob.ma/emploi/nouvelle-vague-de-postes-ouverts-chez-sebn-ma-a-sale-et-tanger/,2.0
Carrière chez Oulmès: Nouveaux Profils Recherchés,Non spécifié,Bouskoura,"Agroalimentaire, Logistique",Non spécifié,Bac+5,5 ans,"ERP, Kaizen, Lean",Non spécifié,"Communication, Gestion de projet, Innovation, Résolution de problèmes, Travail en équipe",https://www.dreamjob.ma/emploi/carriere-chez-oulmes-nouveaux-profils-recherches/,5.0
(7) Postes Disponibles chez Eaton,Non spécifié,Casablanca,"Aéronautique, Logistique, Procédés, Énergie",Non spécifié,Bac+2,1 à 3 ans,"AMDEC, CAO, CATIA, Conception mécanique, DAO, ERP, Excel, SOLIDWORKS","Français, Anglais","Autonomie, Autonomie, Communication, Créativité, Flexibilité, Innovation, Leadership, Organisation, Polyvalence, Relationnel, Rigueur, Résolution de problèmes",https://www.dreamjob.ma/emploi/7-postes-disponibles-chez-eaton/,2.0
Yazaki Ouvre ses Portes à (5) Nouveaux Profils,Yazaki,Tanger,"Automobile, Logistique",Non spécifié,Bac+5,1 an,"APQP, Kaizen, SAP","Français, Anglais","Communication, Leadership, Organisation, Résolution de problèmes",https://www.dreamjob.ma/emploi/yazaki-ouvre-ses-portes-a-5-nouveaux-profils/,1.0
NOMAC Recrute: Êtes-Vous Prêt Pour Le Défi ?,NOMAC,Ouarzazate,"Chimie, Énergie",Non spécifié,Non spécifié,5 à 7 ans,"Ms project, SAP","Anglais, Arabe","Communication, Organisation",https://www.dreamjob.ma/emploi/nomac-recrute-etes-vous-pret-pour-le-defi/,6.0
Rejoignez Stellantis en Tant que Technicien Maintenance,Non spécifié,Kénitra,"Automobile, Métallurgie",Non spécifié,Bac+2,3 ans,Robotique,Non spécifié,Autonomie,https://www.dreamjob.ma/emploi/rejoignez-stellantis-en-tant-que-technicien-maintenance/,3.0
STROC Industrie: Opportunités de carrière en CDI,Non spécifié,Casablanca,Construction,CDI,Bac+5,5 ans,Non spécifié,Non spécifié,"Communication, Créativité, Innovation",https://www.dreamjob.ma/emploi/stroc-industrie-opportunites-de-carriere-en-cdi/,5.0
Découvrez la vague d’offres d’emploi chez SCIF (+9 postes disponibles) !,Non spécifié,Casablanca,"Construction, Ferroviaire, Procédés",CDI,Bac+2,2 ans,"Autocad, ERP, SOLIDWORKS",Anglais,"Autonomie, Communication, Gestion de projet, Organisation",https://www.dreamjob.ma/emploi/decouvrez-la-vague-doffres-demploi-chez-scif-9-postes-disponibles/,2.0
Stages et Emplois Disponibles chez Gestamp Maroc – Postulez Maintenant !,Non spécifié,Kénitra,Automobile,Stage,Bac+2,Non spécifié,SAP,Non spécifié,Innovation,https://www.dreamjob.ma/emploi/stages-et-emplois-disponibles-chez-gestamp-maroc-postulez-maintenant/,
Stellantis Recrute: Trouvez Votre Prochain Défi Professionnel,Stellantis,Rabat,"Automobile, Aéronautique",Non spécifié,Bac+2,1 an,CAO,Non spécifié,"Autonomie, Communication, Gestion de projet, Organisation, Travail en équipe",https://www.dreamjob.ma/emploi/stellantis-recrute-trouvez-votre-prochain-defi-professionnel/,1.0
Intégrez Stellantis: Nouveaux Postes à Pourvoir,Non spécifié,Rabat,Automobile,Non spécifié,Bac+2,3 ans,CAO,Non spécifié,"Autonomie, Communication, Gestion de projet, Organisation, Résolution de problèmes, Travail en équipe",https://www.dreamjob.ma/emploi/integrez-stellantis-nouveaux-postes-a-pourvoir/,3.0
Multisac recrute 3 Postes sur Casablanca,Multisac,Casablanca,Plasturgie,Non spécifié,Bac+3,5 ans,Non spécifié,"Français, Anglais","Communication, Innovation, Résolution de problèmes",https://www.dreamjob.ma/emploi/multisac-recrute-3-postes-sur-casablanca/,5.0
Campagne de Recrutement chez SCIF,Non spécifié,Casablanca,"Construction, Ferroviaire",CDI,Bac+2,2 ans,"Autocad, ERP, SOLIDWORKS",Anglais,"Communication, Rigueur",https://www.dreamjob.ma/emploi/campagne-de-recrutement-chez-scif/,2.0
Plastic Omnium recrute Plusieurs Profils pour 2024,Plastic Omnium,Tanger,"Automobile, Logistique, Énergie",Non spécifié,Bac+2,2 à 5 ans,"5S, CATIA, Excel, SAP",Anglais,"Communication, Innovation, Travail en équipe, Travail en équipe",https://www.dreamjob.ma/emploi/plastic-omnium-recrute-plusieurs-profils-pour-2024/,3.5
Auto Hall recrute des Responsables SAV Juniors,Auto Hall,Casablanca,"Automobile, Construction",CDI,Bac+5,2 ans,Non spécifié,Non spécifié,Non spécifié,https://www.dreamjob.ma/emploi/auto-hall-recrute-responsables-sav/,2.0
Proma Group recrute des Techniciens Maintenance,Proma Group,Kénitra,"Automobile, Logistique",Non spécifié,Bac+2,2 ans,"Automatisme, Robotique",Non spécifié,"Autonomie, Communication, Innovation, Travail en équipe",https://www.dreamjob.ma/emploi/proma-group-recrute-techniciens-maintenance/,2.0
Stellantis recrute des Techniciens Hydrauliciens à Kénitra,Stellantis,Kénitra,"Automobile, Métallurgie",Non spécifié,Bac+2,5 ans,Robotique,Non spécifié,Autonomie,https://www.dreamjob.ma/emploi/stellantis-recrute-techniciens-hydrauliciens/,5.0
Simoldes Plasticos recrute des Stagiaires dans Plusieurs Domaines,Simoldes Plasticos,Kénitra,"Automobile, Plasturgie",Stage,Bac+2,Non spécifié,Non spécifié,Non spécifié,Organisation,https://www.dreamjob.ma/stage/simoldes-plasticos-recrute-des-stagiaires-dans-plusieurs-domaines/,
Stellantis recrute des Techniciens Mise au Point à Kénitra,Stellantis,Kénitra,"Automobile, Métallurgie",Stage,Bac+2,10 ans,Non spécifié,Non spécifié,Autonomie,https://www.dreamjob.ma/emploi/stellantis-recrute-techniciens-mise-au-point/,10.0
Saint Gobain recrute pour Divers Postes,Saint Gobain,Kénitra,"Construction, Énergie",Non spécifié,Bac+2,2 ans,Automatisme,"Français, Anglais",Communication,https://www.dreamjob.ma/emploi/saint-gobain-recrute-pour-divers-postes/,2.0
UM6P recrute des Formateurs,UM6P,Benguerir,Procédés,Stage,Non spécifié,2 ans,Non spécifié,Non spécifié,"Adaptabilité, Communication, Innovation, Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/um6p-recrute-formateurs/,2.0
Nexteer Automotive recrute pour ces 3 Postes,Nexteer Automotive,Kénitra,"Automobile, Logistique",Non spécifié,Bac+5,2 à 3 ans,Non spécifié,Non spécifié,"Communication, Innovation, Organisation",https://www.dreamjob.ma/emploi/nexteer-automotive-recrute-pour-ces-3-postes/,2.5
Plusieurs Postes à Pourvoir chez Proma Group,Non spécifié,Kénitra,"Automobile, Logistique",Non spécifié,Bac+2,5 ans,"Automatisme, Robotique","Français, Anglais",Innovation,https://www.dreamjob.ma/emploi/plusieurs-postes-a-pourvoir-chez-proma-group/,5.0
L’African Academy of Industrial Training de l’UM6P recrute des Formateurs,L’African Academy of Industrial Training de l’UM6P,Non spécifié,"Construction, Procédés",Non spécifié,Bac+4,2 à 3 ans,Automatisme,Non spécifié,"Autonomie, Communication, Innovation, Leadership, Organisation, Rigueur, Réactivité, Travail en équipe",https://www.dreamjob.ma/emploi/aait-recrute-formateurs/,2.5
Nouvelles Offres d’Emploi chez JTEKT,Non spécifié,Tanger,Automobile,CDI,Bac+2,2 ans,AMDEC,"Français, Anglais","Communication, Rigueur",https://www.dreamjob.ma/emploi/nouvelles-offres-demploi-chez-jtekt/,2.0
Campagne de Recrutement chez Ingelec,Non spécifié,Casablanca,"Plasturgie, Énergie",Non spécifié,Bac+2,2 ans,Automatisme,Non spécifié,"Créativité, Innovation, Proactivité, Rigueur",https://www.dreamjob.ma/emploi/campagne-recrutement-ingelec/,2.0
SNEP recrute Plusieurs Profils 2023,SNEP,Mohammedia,"Agroalimentaire, Automobile, Construction, Procédés",Non spécifié,Non spécifié,1 an,Non spécifié,"Français, Anglais, Arabe",Communication,https://www.dreamjob.ma/emploi/snep-recrute-plusieurs-profils/,1.0
Campagne de Recrutement Nexteer Automotive 2023,Non spécifié,Non spécifié,"Automobile, Aéronautique, Logistique, Métallurgie, Procédés",Stage,Bac+2,2 à 3 ans,APQP,"Français, Anglais","Autonomie, Communication, Innovation",https://www.dreamjob.ma/emploi/campagne-recrutement-nexteer-automotive-2023/,2.5
Sabca Maroc recrute Plusieurs Profils 2023,Sabca Maroc,Casablanca,"Automobile, Aéronautique, Ferroviaire, Procédés",Stage,Bac+5,3 ans,"CAO, ERP","Français, Anglais","Autonomie, Communication, Leadership, Organisation, Travail en équipe",https://www.dreamjob.ma/emploi/sabca-maroc-recrute-plusieurs-profils-2023/,3.0
A2I recrute 16 Agents d’Etudes sur Casablanca,A2I,Casablanca,Ferroviaire,Non spécifié,Non spécifié,Non spécifié,"Autocad, Excel",Anglais,Communication,https://www.dreamjob.ma/emploi/a2i-recrute-des-agents-detudes/,
Ingelec recrute Plusieurs Profils 2023,Ingelec,Casablanca,"Plasturgie, Procédés, Énergie",Non spécifié,Bac+2,2 ans,"Automatisme, ERP",Non spécifié,"Créativité, Innovation, Organisation, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/ingelec-recrute-plusieurs-profils-2023/,2.0
Figeac Aero recrute Plusieurs Profils 2023,Figeac Aero,Non spécifié,"Automobile, Aéronautique, Construction, Logistique",Non spécifié,Bac+2,5 à 10 ans,"5S, ERP",Anglais,Organisation,https://www.dreamjob.ma/emploi/figeac-aero-recrute-plusieurs-profils-2023/,7.5
JTEKT recrute Plusieurs Profils 2023,JTEKT,Non spécifié,Automobile,CDI,Bac+3,5 ans,"AMDEC, Excel, Ms project, SAP","Français, Anglais","Communication, Organisation, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/jtekt-recrute-plusieurs-profils-2023/,5.0
Auto Hall recrute 20 Techniciens de Maintenance à Agadir,Auto Hall,Agadir,Automobile,CDI,Bac+2,1 an,Non spécifié,Non spécifié,"Innovation, Organisation, Rigueur",https://www.dreamjob.ma/emploi/auto-hall-recrute-20-techniciens-de-maintenance-a-agadir/,1.0
SEBN Maroc recrute des Techniciens de Maintenance à Salé,SEBN Maroc,Salé,Automobile,Non spécifié,Bac+2,1 an,Non spécifié,Non spécifié,"Organisation, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/sebn-maroc-recrute-des-techniciens-de-maintenance-a-sale/,1.0
Techniciens de Maintenance recherchés par TI Automotive,Non spécifié,Tanger,Automobile,CDI,Bac+2,2 ans,Automatisme,Non spécifié,"Organisation, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/techniciens-de-maintenance-recherches-par-ti-automotive/,2.0
ZTT ouvre plusieurs opportunités en maintenance industrielle,ZTT,Tanger,Non spécifié,Non spécifié,Bac+2,1 an,Non spécifié,"Français, Anglais","Innovation, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/ztt-ouvre-plusieurs-opportunites-en-maintenance-industrielle/,1.0
Le Groupe GMD ouvre 5 stages en maintenance,Le Groupe GMD,Tanger,Automobile,Stage,Bac+2,Non spécifié,Non spécifié,Non spécifié,"Innovation, Organisation, Rigueur, Résolution de problèmes, Travail en équipe",https://www.dreamjob.ma/stage/le-groupe-gmd-ouvre-5-stages-en-maintenance/,
Sanipak recrute à Berrechid en maintenance et qualité,Sanipak,Berrechid,Chimie,Non spécifié,Bac+2,6 ans,Non spécifié,Non spécifié,"Organisation, Rigueur",https://www.dreamjob.ma/emploi/sanipak-recrute-a-berrechid-en-maintenance-et-qualite/,6.0
"Safran lance un recrutement en maintenance, comptabilité et IT",Non spécifié,Casablanca,Aéronautique,CDI,Bac+5,10 ans,"ERP, Excel, SAP",Anglais,"Initiative, Innovation, Leadership, Proactivité, Relationnel, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/safran-lance-un-recrutement-en-maintenance-comptabilite-et-it/,10.0
Airbus Atlantic ouvre un stage et un poste en maintenance,Airbus Atlantic,Casablanca,Aéronautique,Stage,Bac+2,Non spécifié,Non spécifié,Non spécifié,"Autonomie, Innovation, Organisation, Relationnel, Rigueur, Réactivité, Travail en équipe",https://www.dreamjob.ma/emploi/airbus-atlantic-ouvre-un-stage-et-un-poste-en-maintenance/,
Figeac Aéro recrute en maintenance industrielle à Nouaceur,Figeac Aéro,Nouaceur,Aéronautique,CDI,Non spécifié,Non spécifié,"Automatisme, GMAO",Non spécifié,"Autonomie, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/figeac-aero-recrute-en-maintenance-industrielle-a-nouaceur/,
"Offre d’emploi à Tanger, techniciens maintenance recherchés",Non spécifié,Tanger,Automobile,Non spécifié,Bac+2,2 ans,Non spécifié,Français,"Innovation, Rigueur, Réactivité, Travail en équipe",https://www.dreamjob.ma/emploi/offre-demploi-a-tanger-techniciens-maintenance-recherches/,2.0
"Recrutement Proma Industries, postes à saisir en maintenance et logistique",Non spécifié,Kénitra,"Automobile, Logistique",Non spécifié,Bac+5,Non spécifié,"5S, Automatisme, Robotique, SAP",Anglais,"Leadership, Organisation, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/recrutement-proma-industries-postes-a-saisir-en-maintenance-et-logistique/,
Postes ouverts en maintenance et systèmes d’information chez Mafoder,Non spécifié,Casablanca,Construction,CDI,Non spécifié,2 ans,ERP,Non spécifié,"Autonomie, Organisation, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/postes-ouverts-en-maintenance-et-systemes-dinformation-chez-mafoder/,2.0
SOMAS recrute 10 Responsables Maintenance à Mohammedia,SOMAS,Mohammedia,Logistique,Non spécifié,Non spécifié,3 à 5 ans,"Automatisme, GMAO","Français, Anglais, Arabe","Gestion de projet, Organisation, Rigueur",https://www.dreamjob.ma/emploi/somas-recrute-10-responsables-maintenance-a-mohammedia/,4.0
Stellantis ouvre des postes en fiabilité maintenance,Stellantis,Kénitra,Automobile,CDI,Bac+2,3 ans,Non spécifié,Non spécifié,"Communication, Relationnel, Réactivité",https://www.dreamjob.ma/emploi/stellantis-ouvre-des-postes-en-fiabilite-maintenance/,3.0
Postes de Techniciens Maintenance ouverts chez Aptiv Kénitra,Non spécifié,Kénitra,Automobile,CDI,Bac+2,Non spécifié,Automatisme,Non spécifié,"Organisation, Résolution de problèmes",https://www.dreamjob.ma/emploi/postes-de-techniciens-maintenance-ouverts-chez-aptiv-kenitra/,
Stellantis recrute des Fiabilistes Maintenance à Kénitra: CDI à pourvoir immédiatement,Stellantis,Kénitra,Automobile,CDI,Bac+2,3 ans,Non spécifié,Non spécifié,"Communication, Innovation, Relationnel, Réactivité, Résolution de problèmes, Travail en équipe",https://www.dreamjob.ma/emploi/stellantis-recrute-des-fiabilistes-maintenance-a-kenitra-cdi-a-pourvoir-immediatement/,3.0
SEWS-Maroc recrute des Techniciens de Maintenance à Kénitra,SEWS-Maroc,Kénitra,Automobile,CDI,Bac+2,2 ans,Non spécifié,Non spécifié,"Autonomie, Innovation, Rigueur",https://www.dreamjob.ma/emploi/sews-maroc-recrute-des-techniciens-de-maintenance-a-kenitra/,2.0
Air Arabia recrute: techniciens et contrôleurs pour sa maintenance au Maroc,Air Arabia,Non spécifié,Aéronautique,Non spécifié,Bac+3,3 ans,Non spécifié,Anglais,"Flexibilité, Organisation, Rigueur",https://www.dreamjob.ma/emploi/air-arabia-recrute-techniciens-et-controleurs-pour-sa-maintenance-au-maroc/,3.0
"OCP Maintenance Solutions recrute à Safi: ingénieurs software, data scientists et plus",OCP Maintenance Solutions,Safi,Non spécifié,CDI,Bac+5,Non spécifié,"Modélisation, Python",Non spécifié,"Communication, Innovation, Résolution de problèmes, Travail en équipe, Travail en équipe",https://www.dreamjob.ma/emploi/ocp-maintenance-solutions-recrute-a-safi-ingenieurs-software-data-scientists-et-plus/,
Sicda cherche des profils expérimentés en maintenance,Sicda,Berrechid,Non spécifié,Non spécifié,Bac+2,2 ans,GMAO,Non spécifié,"Autonomie, Innovation, Polyvalence, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/sicda-cherche-des-profils-experimentes-en-maintenance/,2.0
Coficab recrute des Techniciens Maintenance à Tanger – Industrie automobile,Coficab,Tanger,Automobile,Non spécifié,Bac+2,2 ans,Non spécifié,Français,Innovation,https://www.dreamjob.ma/emploi/coficab-recrute-des-techniciens-maintenance-a-tanger-industrie-automobile/,2.0
Poste à pourvoir: techniciens maintenance dans le secteur automobile chez Leoni,Non spécifié,Non spécifié,"Automobile, Aéronautique, Logistique, Énergie",Non spécifié,Bac+2,3 ans,Automatisme,"Français, Anglais","Autonomie, Communication",https://www.dreamjob.ma/emploi/poste-a-pourvoir-techniciens-maintenance-dans-le-secteur-automobile-chez-leoni/,3.0
Electra Batteries recrute des Techniciens Maintenance à Casablanca,Electra Batteries,Casablanca,Automobile,Non spécifié,Bac+2,5 ans,Non spécifié,Non spécifié,"Autonomie, Innovation, Rigueur, Réactivité, Travail en équipe",https://www.dreamjob.ma/emploi/electra-batteries-recrute-des-techniciens-maintenance-a-casablanca/,5.0
Sicda recrute des Responsables Maintenance à Berrechid,Sicda,Berrechid,Construction,Non spécifié,Non spécifié,3 ans,GMAO,Non spécifié,"Innovation, Organisation",https://www.dreamjob.ma/emploi/sicda-recrute-des-responsables-maintenance-a-berrechid/,3.0
Codiag recrute des Techniciens Maintenance sur Casablanca,Codiag,Casablanca,"Logistique, Plasturgie",CDI,Bac+3,5 ans,Non spécifié,Non spécifié,"Innovation, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/codiag-recrute-des-techniciens-maintenance-sur-casablanca/,5.0
"MIA recrute: Postes en maintenance, IT, logistique et stages pour étudiants",MIA,Non spécifié,"Automobile, Logistique",Stage,Bac+2,2 ans,Non spécifié,"Français, Anglais","Autonomie, Innovation, Rigueur, Réactivité, Résolution de problèmes, Travail en équipe",https://www.dreamjob.ma/emploi/mia-recrute-postes-en-maintenance-it-logistique-et-stages-pour-etudiants/,2.0
Tractafric Equipment recrute des techniciens spécialisés en maintenance,Tractafric Equipment,Casablanca,Construction,Non spécifié,Bac+2,2 ans,Non spécifié,Non spécifié,"Autonomie, Organisation, Rigueur, Résolution de problèmes",https://www.dreamjob.ma/emploi/tractafric-equipment-recrute-des-techniciens-specialises-en-maintenance/,2.0
Coficab Tanger recrute des Techniciens Maintenance,Coficab Tanger,Tanger,Automobile,Non spécifié,Bac+2,2 ans,Non spécifié,Français,Innovation,https://www.dreamjob.ma/emploi/coficab-tanger-recrute-des-techniciens-maintenance/,2.0
Carrière en maintenance industrielle à Oujda – Hirschmann Automotive recrute,Carrière en maintenance industrielle à Oujda – Hirschmann Automotive,Oujda,Automobile,Non spécifié,Bac+2,2 ans,"5S, SAP","Français, Anglais","Autonomie, Communication, Flexibilité, Initiative, Innovation, Organisation, Polyvalence",https://www.dreamjob.ma/emploi/carriere-en-maintenance-industrielle-a-oujda-hirschmann-automotive-recrute/,2.0
Figeac Aero recrute des Techniciens Maintenance sur Casablanca,Figeac Aero,Casablanca,Aéronautique,Non spécifié,Non spécifié,1 an,Automatisme,Non spécifié,"Réactivité, Travail en équipe",https://www.dreamjob.ma/emploi/figeac-aero-recrute-des-techniciens-maintenance-sur-casablanca/,1.0
Groupe Dama: Mécaniciens de Maintenance Industrielle Recherchés,Non spécifié,Casablanca,Non spécifié,Intérim,Bac+2,1 à 3 ans,Automatisme,Non spécifié,"Organisation, Polyvalence",https://www.dreamjob.ma/emploi/groupe-dama-mecaniciens-de-maintenance-industrielle-recherches/,2.0
OCP Maintenance – Postes Ouverts: Acheteurs Bac+3 à Bac+5,Non spécifié,El jadida,Logistique,Non spécifié,Bac+3,2 à 5 ans,"Excel, SAP","Français, Anglais","Communication, Travail en équipe",https://www.dreamjob.ma/emploi/ocp-maintenance-postes-ouverts-acheteurs-bac3-a-bac5/,3.5
Recrutement OCP Maintenance – (7) Profils Recherchés,Non spécifié,Casablanca,Non spécifié,Stage,Bac+2,3 à 5 ans,"Autocad, CATIA, ERP, Excel, SAP","Français, Anglais","Autonomie, Créativité, Initiative",https://www.dreamjob.ma/emploi/recrutement-ocp-maintenance-7-profils-recherches/,4.0
SEBN Recrute des Coordinateurs Maintenance: Découvrez l’Offre !,SEBN,Salé,Automobile,Non spécifié,Bac+2,3 ans,Non spécifié,Non spécifié,"Initiative, Leadership",https://www.dreamjob.ma/emploi/sebn-recrute-des-coordinateurs-maintenance-decouvrez-loffre/,3.0
Carrière en Maintenance Électrique: Postulez chez LafargeHolcim,Non spécifié,Tétouan,Construction,Non spécifié,Non spécifié,5 ans,"Automatisme, Excel","Français, Anglais","Communication, Innovation, Leadership, Organisation, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/carriere-en-maintenance-electrique-postulez-chez-lafargeholcim/,5.0
Responsable Maintenance – Deux Postes Disponibles chez Excelo,Non spécifié,Had soualem,Agroalimentaire,Non spécifié,Bac+5,5 ans,"Automatisme, GMAO",Non spécifié,"Autonomie, Communication, Innovation, Organisation, Proactivité, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/responsable-maintenance-deux-postes-disponibles-chez-excelo/,5.0
Recrutement de Techniciens de Maintenance chez COFAT,Non spécifié,Kénitra,"Automobile, Énergie",Stage,Bac+2,2 ans,Non spécifié,"Français, Anglais",Non spécifié,https://www.dreamjob.ma/emploi/recrutement-de-techniciens-de-maintenance-chez-cofat/,2.0
Rejoignez Sulzer en Tant que Technicien de Maintenance,Non spécifié,Casablanca,Énergie,Stage,Bac+2,5 ans,Non spécifié,Non spécifié,"Innovation, Organisation, Polyvalence, Rigueur",https://www.dreamjob.ma/emploi/rejoignez-sulzer-en-tant-que-technicien-de-maintenance/,5.0
OCP Maintenance Solutions Recherche des Ingénieurs Expérimentés,Non spécifié,Jorf lasfar,Logistique,Non spécifié,Bac+5,1 à 2 ans,"Automatisme, ERP, Excel",Non spécifié,"Communication, Travail en équipe",https://www.dreamjob.ma/emploi/ocp-maintenance-solutions-recherche-des-ingenieurs-experimentes/,1.5
Techniciens Maintenance Recherchés chez COFICAB,Non spécifié,Tanger,Automobile,Non spécifié,Bac+2,2 ans,Non spécifié,Français,Innovation,https://www.dreamjob.ma/emploi/techniciens-maintenance-recherches-chez-coficab/,2.0
OCP Maintenance Solutions recrute des Acheteurs sur Jorf Lasfar,OCP Maintenance Solutions,Jorf lasfar,Logistique,Non spécifié,Bac+5,1 à 2 ans,"ERP, Excel",Non spécifié,"Communication, Travail en équipe",https://www.dreamjob.ma/emploi/ocp-maintenance-solutions-recrute-des-acheteurs-sur-jorf-lasfar/,1.5
Opportunités de Carrière en France: Maintenance Akademy Recrute !,Opportunités de Carrière en France: Maintenance Akademy,Non spécifié,Agroalimentaire,CDI,Bac+2,5 ans,"Automatisme, GMAO",Français,Non spécifié,https://www.dreamjob.ma/emploi/opportunites-de-carriere-en-france-maintenance-akademy-recrute/,5.0
Lear Corporation recrute des Techniciens Maintenance H/F,Lear Corporation,Meknès,Automobile,CDI,Bac+2,2 ans,Non spécifié,"Français, Anglais","Autonomie, Rigueur",https://www.dreamjob.ma/emploi/lear-corporation-recrute-des-techniciens-maintenance-h-f/,2.0
Ficosa cherche à engager des Techniciens de Maintenance,Ficosa,Salé,Automobile,Non spécifié,Bac+2,2 ans,Non spécifié,"Français, Anglais","Autonomie, Communication, Organisation, Résolution de problèmes, Travail en équipe",https://www.dreamjob.ma/emploi/ficosa-cherche-a-engager-des-techniciens-de-maintenance/,2.0
Xiezhong Morocco recrute des Techniciens Maintenance sur Kénitra,Xiezhong Morocco,Kénitra,Automobile,Non spécifié,Bac+2,2 ans,Non spécifié,Non spécifié,Travail en équipe,https://www.dreamjob.ma/emploi/xiezhong-morocco-recrute-des-techniciens-maintenance-sur-kenitra/,2.0
Auto Hall recrute des Techniciens Maintenance,Auto Hall,Tétouan,"Automobile, Construction",CDI,Bac+2,2 ans,Non spécifié,Non spécifié,Non spécifié,https://www.dreamjob.ma/emploi/auto-hall-recrute-techniciens-maintenance/,2.0
Duroc recrute Plusieurs Profils Maintenance,Duroc,Agadir,"Automobile, Procédés",Stage,Non spécifié,Non spécifié,Automatisme,Non spécifié,Travail en équipe,https://www.dreamjob.ma/emploi/duroc-recrute-plusieurs-profils-maintenance/,
Sews Maroc recrute des Opérateurs Maintenance,Sews Maroc,Kénitra,"Automobile, Énergie",Anapec,Bac+2,Non spécifié,Non spécifié,Non spécifié,"Autonomie, Résolution de problèmes",https://www.dreamjob.ma/emploi/sews-maroc-recrute-operateurs-maintenance/,
Coca Cola recrute des Techniciens Maintenance,Coca Cola,Marrakech,Non spécifié,Non spécifié,Bac+2,3 ans,"GMAO, SAP",Non spécifié,"Adaptabilité, Travail en équipe",https://www.dreamjob.ma/emploi/coca-cola-recrute-techniciens-maintenance/,3.0
