Titre du poste,Entreprise,Ville,Secteur d'activité,Contrat proposé,Niveau d'étude,Expérience,Compétences techniques,Langues,Soft skills,Lien de l'offre
3 opportunités chez Managem dans le secteur minier,Non spécifié,Taroudant,"Minier, Énergie",Non spécifié,Non spécifié,3 à 5 ans,GMAO,Non spécifié,"Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/3-opportunites-chez-managem-dans-le-secteur-minier/
Aiguebelle recrute 4 profils à Casablanca,Aiguebelle,Casablanca,"Agroalimentaire, Chimie, Logistique, Procédés",CDI,"Bac+2, bac+3, bac+5",5 ans,"5S, Excel, Kaizen, Lean","Français, Anglais","Autonomie, Initiative, Organisation, Relationnel, Rigueur, Réactivité, Travail en équipe, Travailler en équipe",https://www.dreamjob.ma/emploi/aiguebelle-recrute-4-profils-a-casablanca/
"Sanipak lance un recrutement en production, maintenance et finance",Non spécifié,Berrechid,Procédés,Non spécifié,"Bac+2, bac+3, bac+5",2 à 5 ans,Non spécifié,Non spécifié,"Communication, Leadership, Organisation, Résolution de problèmes",https://www.dreamjob.ma/emploi/sanipak-lance-un-recrutement-en-production-maintenance-et-finance/
"LEONI recrute 5 profils à Agadir, Casablanca et Bouznika",LEONI,Casablanca,"Automobile, Logistique, Énergie",Non spécifié,Bac+5,2 à 5 ans,"Lean, Lean manufacturing","Français, Anglais","Communication, Gestion de projet",https://www.dreamjob.ma/emploi/leoni-recrute-5-profils-a-agadir-casablanca-et-bouznika/
"Recrutement Sonasid, 4 postes à pourvoir dès maintenant",Non spécifié,Jorf Lasfar,"Automobile, Construction",CDI,"Bac+2, bac+3, bac+5",50 ans,Non spécifié,Non spécifié,"Organisation, Rigueur",https://www.dreamjob.ma/emploi/recrutement-sonasid-4-postes-a-pourvoir-des-maintenant/
Recrutement en cours chez SCIF sur plusieurs chantiers,Non spécifié,Non spécifié,Construction,CDI,Bac+5,2 ans,Non spécifié,"Français, Anglais","Leadership, Rigueur",https://www.dreamjob.ma/emploi/recrutement-en-cours-chez-scif-sur-plusieurs-chantiers/
3 stages et 1 CDI à saisir chez Tractafric Equipment,Non spécifié,Casablanca,"Btp, Construction, Minier, Énergie",CDI,"Bac+4, bac+5",80 ans,Excel,"Français, Anglais","Autonomie, Communication, Créativité, Rigueur",https://www.dreamjob.ma/emploi/3-stages-et-1-cdi-a-saisir-chez-tractafric-equipment/
Maghreb Steel ouvre des opportunités en maintenance et énergie,Maghreb Steel,Casablanca,Énergie,Non spécifié,Bac+3,3 à 4 ans,"GMAO, Ms project, SAP",Non spécifié,"Autonomie, Organisation, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/maghreb-steel-ouvre-des-opportunites-en-maintenance-et-energie/
Postes en maintenance à saisir chez Stellantis à Kénitra dès maintenant,Non spécifié,Kénitra,Automobile,CDI,"Bac+2, bac+3",3 ans,GMAO,Non spécifié,"Autonomie, Polyvalence, Relationnel, Rigueur, Réactivité, Travailler en équipe",https://www.dreamjob.ma/emploi/postes-en-maintenance-a-saisir-chez-stellantis-a-kenitra-des-maintenant/
Stages et emplois ouverts chez Structural Aerospace Morocco,Non spécifié,Non spécifié,"Aéronautique, Logistique",CDI,Non spécifié,2 à 5 ans,"ERP, SAP",Non spécifié,"Autonomie, Leadership, Organisation, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/stages-et-emplois-ouverts-chez-structural-aerospace-morocco/
Managem ouvre des postes clés dans le secteur minier,Managem,Non spécifié,Minier,Stage,Non spécifié,0 à 2 ans,Automatisme,Non spécifié,"Innovation, Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/managem-ouvre-des-postes-cles-dans-le-secteur-minier/
First Plastics ouvre plusieurs postes à Casablanca,First Plastics,Casablanca,Non spécifié,CDI,"Bac+3, bac+5",Non spécifié,Excel,Non spécifié,"Autonomie, Communication, Initiative, Relationnel",https://www.dreamjob.ma/emploi/first-plastics-ouvre-plusieurs-postes-a-casablanca/
Liste des Convoqués Oral Concours ONCF 2025 (580 Techniciens Spécialisés),Non spécifié,Non spécifié,"Ferroviaire, Logistique, Énergie",Non spécifié,Bac+2,30 ans,Robotique,Non spécifié,Autonomie,https://www.dreamjob.ma/emploi-public/liste-des-convoques-oral-concours-oncf-2025-580-techniciens-specialises/
Postes techniques ouverts chez Vetcam à Agadir,Non spécifié,Agadir,"Btp, Construction, Logistique",CDI,"Bac+2, bac+3",5 ans,Non spécifié,Non spécifié,"Leadership, Organisation, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/agadir/postes-techniques-ouverts-chez-vetcam-a-agadir/
Postes à saisir en conception automobile chez SEGULA Maroc,Non spécifié,Casablanca,"Automobile, Aéronautique, Ferroviaire, Énergie",CDI,Non spécifié,3 ans,"CAO, CATIA",Non spécifié,"Innovation, Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/postes-a-saisir-en-conception-automobile-chez-segula-maroc/
Recrutement SIDEN 5 techniciens qualité et préparateurs,Non spécifié,Jorf Lasfar,"Construction, Procédés",Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,"Autonomie, Organisation, Rigueur",https://www.dreamjob.ma/emploi/recrutement-siden-5-techniciens-qualite-et-preparateurs/
Safran ouvre plusieurs postes à Casablanca postulez dès maintenant,Safran,Casablanca,Aéronautique,CDI,"Bac+3, bac+5",Non spécifié,"5S, Excel, Lean, PPAP, SAP","Français, Anglais","Autonomie, Communication, Initiative, Innovation, Leadership, Organisation, Proactivité, Relationnel, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/safran-ouvre-plusieurs-postes-a-casablanca-postulez-des-maintenant/
Nouvelles offres d’emploi chez Simoldes Plastics profils qualifiés,Non spécifié,Non spécifié,"Automobile, Logistique, Procédés",CDI,"Bac+2, bac+5",3 ans,"Automatisme, Lean, Lean manufacturing, Robotique",Non spécifié,"Autonomie, Communication, Leadership, Organisation, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/nouvelles-offres-demploi-chez-simoldes-plastics-profils-qualifies/
Structural Aerospace Morocco ouvre une campagne de stages PFE à Casablanca,Structural Aerospace Morocco,Casablanca,"Aéronautique, Chimie",Stage,"Bac+2, bac+3, bac+5",Non spécifié,Non spécifié,Non spécifié,Non spécifié,https://www.dreamjob.ma/emploi/structural-aerospace-morocco-ouvre-une-campagne-de-stages-pfe-a-casablanca/
Opportunités de carrière chez Bel à Casablanca et Tanger,Non spécifié,Casablanca,Agroalimentaire,CDI,Bac+5,5 ans,"Automatisme, GMAO, Lean, SAP","Français, Anglais","Adaptabilité, Innovation, Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/opportunites-de-carriere-chez-bel-a-casablanca-et-tanger/
7 Nouvelles offres d’emploi disponibles chez Ciments de l’Atlas,Non spécifié,Casablanca,"Btp, Construction, Procédés",CDI,"Bac+2, bac+3, bac+5",2 ans,"ERP, Modélisation","Français, Anglais","Autonomie, Communication, Initiative, Organisation, Relationnel, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/7-nouvelles-offres-demploi-disponibles-chez-ciments-de-latlas/
SEWS CABIND ouvre plusieurs postes techniques à Berrechid,SEWS CABIND,Berrechid,"Automobile, Procédés",CDI,"Bac+2, bac+5",5 ans,"5S, AMDEC, Modélisation",Non spécifié,"Communication, Rigueur, Résolution de problèmes",https://www.dreamjob.ma/emploi/sews-cabind-ouvre-plusieurs-postes-techniques-a-berrechid/
Faurecia recrute des profils engineering pour ses activités à Rabat,Faurecia,Rabat,"Automobile, Procédés",CDI,"Bac+3, bac+5",Non spécifié,"PPAP, Python",Anglais,"Autonome, Communication, Gestion de projet",https://www.dreamjob.ma/emploi/faurecia-recrute-des-profils-engineering-pour-ses-activites-a-rabat/
Concours de Recrutement Marsa Maroc 2026 (3 Responsables Exploitation),Non spécifié,Non spécifié,Logistique,Non spécifié,Non spécifié,2 ans,Non spécifié,Non spécifié,Non spécifié,https://www.dreamjob.ma/emploi-public/concours-de-recrutement-marsa-maroc-2026-3-responsables-exploitation/
Maghreb Steel ouvre 12 postes CDI,Maghreb Steel,Non spécifié,"Logistique, Procédés",CDI,"Bac+2, bac+3, bac+4, bac+5",3 ans,"Automatisme, Conception mécanique, ERP, Excel, GMAO, Ms project","Français, Anglais","Adaptabilité, Communication, Leadership, Organisation, Proactivité, Rigueur, Réactivité, Résolution de problèmes, Travail en équipe, Travailler en équipe",https://www.dreamjob.ma/emploi/maghreb-steel-ouvre-12-postes-cdi/
Concours de Recrutement Marsa Maroc 2025 (6 Techniciens de Maintenance),Non spécifié,Non spécifié,Logistique,Non spécifié,Non spécifié,Non spécifié,GMAO,Anglais,Non spécifié,https://www.dreamjob.ma/emploi-public/concours-de-recrutement-marsa-maroc-2025-6-techniciens-de-maintenance/
Varun Beverages Morocco recrute techniciens maintenance,Varun Beverages Morocco,Bouskoura,Agroalimentaire,Non spécifié,Bac+2,Non spécifié,5S,Non spécifié,"Organisation, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/varun-beverages-morocco-recrute-techniciens-maintenance/
JTEKT Tanger plusieurs postes chargés méthodes à saisir,Non spécifié,Tanger,"Automobile, Procédés",Non spécifié,"Bac+3, bac+5",Non spécifié,"AMDEC, APQP","Français, Anglais","Communication, Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/jtekt-tanger-plusieurs-postes-charges-methodes-a-saisir/
"Aéronautique, Safran ouvre des stages PFE 2026","Aéronautique, Safran",Non spécifié,Aéronautique,Stage,Non spécifié,Non spécifié,"Conception mécanique, Modélisation",Non spécifié,Rigueur,https://www.dreamjob.ma/stage/aeronautique-safran-ouvre-des-stages-pfe-2026/
Concours de Recrutement SRM Fès-Meknès 2025 (80 Postes),Non spécifié,Meknès,Logistique,Non spécifié,"Bac+3, bac+5",5 à 10 ans,Non spécifié,Non spécifié,Non spécifié,https://www.dreamjob.ma/emploi-public/concours-de-recrutement-srm-fes-meknes-2025-80-postes/
Liste des Convoqués Concours ONCF 2025 (580 Techniciens Spécialisés),Non spécifié,Non spécifié,"Ferroviaire, Logistique, Énergie",Non spécifié,Bac+2,30 ans,Robotique,Non spécifié,Autonomie,https://www.dreamjob.ma/emploi-public/liste-des-convoques-concours-oncf-2025-580-techniciens-specialises/
Opportunités Marsa Maroc – plusieurs postes à pourvoir,Non spécifié,Non spécifié,Logistique,CDI,Bac+5,Non spécifié,"Automatisme, Excel, GMAO, Ms project",Non spécifié,"Communication, Gestion de projet, Leadership, Rigueur, Réactivité",https://www.dreamjob.ma/emploi-public/opportunites-marsa-maroc-plusieurs-postes-a-pourvoir/
"Opportunités d’emploi chez SCIF, plusieurs postes à pourvoir dès maintenant",Non spécifié,Non spécifié,"Construction, Ferroviaire",Non spécifié,"Bac+2, bac+5",4 ans,"Autocad, ERP, Ms project, SOLIDWORKS",Anglais,"Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/opportunites-demploi-chez-scif-plusieurs-postes-a-pourvoir-des-maintenant/
AVL Maroc lance sa campagne de stages PFE à Rabat Technopolis,Non spécifié,Rabat,Automobile,Stage,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Innovation,https://www.dreamjob.ma/stage/avl-maroc-lance-sa-campagne-de-stages-pfe-a-rabat-technopolis/
Concours Agrégation Education Formation 2026 (250 Postes),Non spécifié,Non spécifié,Chimie,Non spécifié,Non spécifié,45 ans,Non spécifié,Français,Non spécifié,https://www.dreamjob.ma/emploi-public/concours-agregation-education-formation-2026/
Tractafric recherche des techniciens en maintenance Caterpillar,Non spécifié,Casablanca,"Btp, Énergie",Non spécifié,Bac+2,80 ans,Non spécifié,Non spécifié,Rigueur,https://www.dreamjob.ma/emploi/tractafric-recherche-des-techniciens-en-maintenance-caterpillar/
Opportunités de stages PFE 2025 chez APM Terminals Tanger,Non spécifié,Tanger,Logistique,Stage,Bac+5,Non spécifié,Lean,"Français, Anglais","Autonomie, Communication, Innovation, Organisation",https://www.dreamjob.ma/stage/opportunites-de-stages-pfe-2025-chez-apm-terminals-tanger/
Recrutement SCIF: Postes d’Acheteurs Projets à saisir,Non spécifié,Non spécifié,"Ferroviaire, Procédés, Énergie",CDI,Non spécifié,1 an,Non spécifié,Anglais,"Innovation, Organisation, Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/recrutement-scif-postes-dacheteurs-projets-a-saisir/
Concours de Recrutement ONCF 2025 (641 Postes),Non spécifié,Non spécifié,"Construction, Ferroviaire, Logistique, Énergie",Non spécifié,"Bac+2, bac+5",30 ans,"Python, Robotique, SQL",Non spécifié,"Autonomie, Gestion de projet, Initiative, Innovation, Rigueur",https://www.dreamjob.ma/emploi-public/concours-de-recrutement-oncf-2025-641-postes/
Inscription Concours ISMALA OFPPT 2025 Mécaniciens d’Entretien d’Aéronefs,Non spécifié,Nouaceur,"Aéronautique, Construction, Logistique",Non spécifié,Non spécifié,27 ans,"Automatisme, Robotique","Français, Anglais",Non spécifié,https://www.dreamjob.ma/orientation/inscription-concours-ismala-ofppt-2025-mecaniciens-dentretien-daeronefs/
"Rejoignez Atlas Pharm à Berrechid: opportunités en Assurance Qualité, Maintenance et Sécurité",Non spécifié,Berrechid,"Agroalimentaire, Pharmaceutique, Procédés",CDI,"Bac+2, bac+4, bac+5",5 ans,"Automatisme, Robotique",Non spécifié,"Autonomie, Innovation, Organisation, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/rejoignez-atlas-pharm-a-berrechid-opportunites-en-assurance-qualite-maintenance-et-securite/
SIDEN recrute des Préparateurs et Techniciens BE/BM – opportunité à saisir dès maintenant !,SIDEN,Non spécifié,"Construction, Procédés",Non spécifié,Non spécifié,1 an,Non spécifié,Non spécifié,"Communication, Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/siden-recrute-des-preparateurs-et-techniciens-be-bm-opportunite-a-saisir-des-maintenant/
IMA Casablanca lance une formation pré-embauche en partenariat avec Safran Electronics & Defense,Non spécifié,Casablanca,Aéronautique,Stage,Non spécifié,Non spécifié,Non spécifié,Français,"Initiative, Innovation, Rigueur, Travailler en équipe",https://www.dreamjob.ma/formations/ima-casablanca-lance-une-formation-pre-embauche-en-partenariat-avec-safran-electronics-defense/
"Concours ONCF 2025: 580 techniciens spécialisés recherchés, postulez avant le 20 octobre",Non spécifié,Non spécifié,"Ferroviaire, Logistique, Énergie",Non spécifié,Bac+2,30 ans,Robotique,Non spécifié,"Autonomie, Initiative, Innovation",https://www.dreamjob.ma/emploi-public/concours-oncf-2025-580-techniciens-specialises-recherches-postulez-avant-le-20-octobre/
Stellantis recherche des experts maintenance à Kénitra,Non spécifié,Kénitra,Automobile,Non spécifié,Bac+2,5 ans,"Automatisme, GMAO, Robotique",Français,"Autonomie, Innovation, Organisation, Polyvalence, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/stellantis-recherche-des-experts-maintenance-a-kenitra/
Bank Al-Maghrib recrute des techniciens maintenance à Salé. Postulez avant le 14 octobre 2025,Bank Al-Maghrib,Salé,Non spécifié,Non spécifié,Non spécifié,2 ans,Automatisme,Non spécifié,"Autonomie, Rigueur, Réactivité",https://www.dreamjob.ma/emploi-public/bank-al-maghrib-recrute-des-techniciens-maintenance-a-sale-postulez-avant-le-14-octobre-2025/
Opportunité d’emploi: techniciens et préparateurs recherchés par SIDEN,Non spécifié,Non spécifié,Construction,Non spécifié,Non spécifié,1 an,Non spécifié,Non spécifié,"Innovation, Rigueur",https://www.dreamjob.ma/emploi/opportunite-demploi-techniciens-et-preparateurs-recherches-par-siden/
Offre d’emploi à Tanger: Technicien Maintenance chez SUPRAJIT,Non spécifié,Tanger,Logistique,Non spécifié,Non spécifié,5 an,Automatisme,Non spécifié,"Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/offre-demploi-a-tanger-technicien-maintenance-chez-suprajit/
Concours de Recrutement ONCF 2025 (37 Postes),Non spécifié,Non spécifié,Ferroviaire,CDI,Non spécifié,2 ans,Non spécifié,Non spécifié,"Autonomie, Communication, Gestion de projet, Initiative, Innovation, Organisation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi-public/concours-de-recrutement-oncf-2025-37-postes/
LEONI Berrechid lance une campagne de stages: postulez maintenant,Non spécifié,Berrechid,"Automobile, Logistique, Procédés",Stage,Bac+2,Non spécifié,Non spécifié,Non spécifié,Autonome,https://www.dreamjob.ma/stage/leoni-berrechid-lance-une-campagne-de-stages-postulez-maintenant/
"APM Terminals recrute: plusieurs postes en opérations, maintenance et achats",APM Terminals,Non spécifié,Logistique,CDI,Bac+3,5 ans,"ERP, Kaizen, Lean",Anglais,"Communication, Innovation, Travail en équipe",https://www.dreamjob.ma/emploi/apm-terminals-recrute-plusieurs-postes-en-operations-maintenance-et-achats/
Offres d’emploi à Kénitra et Tanger: découvrez les profils recherchés,Non spécifié,Kénitra,"Automobile, Logistique",CDI,"Bac+3, bac+5",3 ans,"ERP, Ms project, SAP","Français, Anglais","Communication, Gestion de projet",https://www.dreamjob.ma/emploi/offres-demploi-a-kenitra-et-tanger-decouvrez-les-profils-recherches/
Les Eaux Minérales d’Oulmès recrute: trois postes clés ouverts,Les Eaux Minérales d’Oulmès,Non spécifié,"Agroalimentaire, Logistique",Non spécifié,Bac+5,5 ans,"Kaizen, Lean",Non spécifié,"Gestion de projet, Organisation",https://www.dreamjob.ma/emploi/les-eaux-minerales-doulmes-recrute-trois-postes-cles-ouverts/
Université Mundiapolis recrute: plusieurs postes d’enseignants et de soignants à Casablanca,Université Mundiapolis,Casablanca,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,https://www.dreamjob.ma/emploi/universite-mundiapolis-recrute-plusieurs-postes-denseignants-et-de-soignants-a-casablanca/
Liste des Convoqués Concours ONCF 2025 (112 Postes),Non spécifié,Non spécifié,"Ferroviaire, Logistique, Procédés",Non spécifié,Non spécifié,35 ans,Non spécifié,"Français, Arabe","Communication, Innovation",https://www.dreamjob.ma/emploi-public/liste-des-convoques-concours-oncf-2025-112-postes/
Inscription Concours EST 2025/2026,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,2 ans,Non spécifié,Non spécifié,Non spécifié,https://www.dreamjob.ma/orientation/inscription-concours-est-2025-2026/
Industrie automobile: offres d’emploi chez Voltaira Morocco,Non spécifié,Non spécifié,Automobile,Non spécifié,Bac+4,5 ans,"5S, SPC","Français, Anglais","Gestion de projet, Innovation",https://www.dreamjob.ma/emploi/industrie-automobile-offres-demploi-chez-voltaira-morocco/
Concours de Recrutement ONCF 2025 (112 Postes),Non spécifié,Non spécifié,"Ferroviaire, Logistique, Procédés",Non spécifié,Non spécifié,35 ans,Non spécifié,"Français, Arabe","Communication, Innovation",https://www.dreamjob.ma/emploi-public/concours-de-recrutement-oncf-2025-112-postes/
El Jadida: des opportunités techniques chez Nestlé dans l’agroalimentaire,Non spécifié,El Jadida,Agroalimentaire,Non spécifié,Bac+2,150 ans,5S,"Français, Anglais","Initiative, Innovation, Leadership",https://www.dreamjob.ma/emploi/el-jadida-des-opportunites-techniques-chez-nestle-dans-lagroalimentaire/
Concours Pratt & Whitney à l’IMA: une opportunité unique le 2 juillet 2025,Non spécifié,Non spécifié,Aéronautique,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,"Innovation, Organisé",https://www.dreamjob.ma/formations/concours-pratt-whitney-a-lima-une-opportunite-unique-le-2-juillet-2025/
L’Université Mundiapolis recrute: 15 postes à pourvoir dans l’enseignement et la santé,L’Université Mundiapolis,Non spécifié,"Aéronautique, Logistique",Non spécifié,Non spécifié,25 ans,Non spécifié,"Français, Anglais","Communication, Rigueur",https://www.dreamjob.ma/emploi/luniversite-mundiapolis-recrute-15-postes-a-pourvoir-dans-lenseignement-et-la-sante/
Inscription Concours EMI Rabat 2025/2026,Non spécifié,Rabat,"Procédés, Recherche scientifique",Non spécifié,Non spécifié,22 ans,Modélisation,Non spécifié,Créativité,https://www.dreamjob.ma/orientation/inscription-concours-emi-rabat-2025-2026/
CDI chez EATON: boostez votre carrière dans la gestion de l’énergie,Non spécifié,Non spécifié,"Procédés, Énergie",CDI,"Bac+2, bac+3, bac+5",Non spécifié,"Autocad, SAP, SOLIDWORKS","Français, Anglais",Non spécifié,https://www.dreamjob.ma/emploi/cdi-chez-eaton-boostez-votre-carriere-dans-la-gestion-de-lenergie/
Rejoignez Mundiapolis: 16 postes ouverts pour enseignants et professionnels de santé,Non spécifié,Non spécifié,"Aéronautique, Logistique",Non spécifié,Non spécifié,25 ans,Non spécifié,"Français, Anglais","Communication, Initiative, Innovation",https://www.dreamjob.ma/emploi/rejoignez-mundiapolis-16-postes-ouverts-pour-enseignants-et-professionnels-de-sante/
Rejoignez Martur Fompak à Tanger: poste de technicien pièces de rechange,Non spécifié,Tanger,"Automobile, Logistique",Non spécifié,"Bac+3, bac+5",Non spécifié,Non spécifié,Non spécifié,"Innovation, Organisation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/rejoignez-martur-fompak-a-tanger-poste-de-technicien-pieces-de-rechange/
Résultats Concours ONCF 2025 (380 Techniciens Spécialisés),Non spécifié,Non spécifié,"Construction, Ferroviaire, Logistique",Non spécifié,Bac+2,15 ans,Non spécifié,Non spécifié,"Autonomie, Initiative",https://www.dreamjob.ma/emploi-public/resultats-concours-oncf-2025-380-techniciens-specialises/
COFAT Maroc recrute des techniciens maintenance à Kénitra,COFAT Maroc,Kénitra,Automobile,Stage,Bac+2,Non spécifié,Non spécifié,"Français, Anglais","Autonome, Communication, Innovation, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/cofat-maroc-recrute-des-techniciens-maintenance-a-kenitra/
Inscription Concours IFMIA Tanger 2025/2026,Non spécifié,Tanger,Automobile,Non spécifié,Non spécifié,30 ans,Non spécifié,Français,Initiative,https://www.dreamjob.ma/orientation/inscription-concours-ifmia-tanger-2025-2026/
Inscription Concours IFMIA Kénitra 2025/2026,Non spécifié,Kénitra,Automobile,Non spécifié,Non spécifié,30 ans,Non spécifié,Français,"Initiative, Organisation",https://www.dreamjob.ma/orientation/inscription-concours-ifmia-kenitra-2025-2026/
L’UEMF lance une Grande Campagne de Recrutement (+50 Postes),Non spécifié,Fès,"Chimie, Recherche scientifique",Stage,Non spécifié,Non spécifié,Robotique,Non spécifié,Innovation,https://www.dreamjob.ma/emploi/luemf-lance-une-grande-campagne-de-recrutement/
Liste des Convoqués Oral Concours de Recrutement ONCF 2025 (170 Postes),Non spécifié,Non spécifié,Ferroviaire,Non spécifié,Bac+3,30 ans,Non spécifié,Non spécifié,"Initiative, Innovation, Organisé, Rigueur",https://www.dreamjob.ma/emploi-public/liste-des-convoques-oral-concours-de-recrutement-oncf-2025-170-postes/
Carrière dans l’aéronautique: postulez chez SAM dès maintenant,Non spécifié,Non spécifié,"Aéronautique, Logistique, Procédés",CDI,"Bac+2, bac+3",Non spécifié,CATIA,Non spécifié,"Innovation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/carriere-dans-laeronautique-postulez-chez-sam-des-maintenant/
Inscription Concours IFMIA Casablanca 2025/2026,Non spécifié,Casablanca,Automobile,Non spécifié,Non spécifié,30 ans,Non spécifié,Français,Initiative,https://www.dreamjob.ma/etudiants/inscription-concours-ifmia-casablanca-2025-2026/
Postulez dès maintenant chez Sonasid: 20+ postes ouverts dans divers métiers,Non spécifié,Non spécifié,Logistique,CDI,"Bac+3, bac+4, bac+5",1 à 5 ans,Non spécifié,Non spécifié,Non spécifié,https://www.dreamjob.ma/emploi/postulez-des-maintenant-chez-sonasid-20-postes-ouverts-dans-divers-metiers/
Rejoignez SEWS CABIND Maroc en tant que Technicien Maintenance,Non spécifié,Berrechid,Automobile,Non spécifié,Bac+2,Non spécifié,Non spécifié,Non spécifié,"Innovation, Rigueur, Résolution de problèmes",https://www.dreamjob.ma/emploi/rejoignez-sews-cabind-maroc-en-tant-que-technicien-maintenance/
Opportunité à Jorf: devenez Chef de Projet chez SIDEN,Non spécifié,Jorf,Construction,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,"Autonomie, Gestion de projet, Rigueur",https://www.dreamjob.ma/emploi/opportunite-a-jorf-devenez-chef-de-projet-chez-siden/
"SNEP recrute des profils expérimentés en Supply Chain, Finance et Maintenance",SNEP,Non spécifié,"Agroalimentaire, Automobile, Btp, Logistique",Non spécifié,Non spécifié,50 ans,Non spécifié,Non spécifié,"Communication, Innovation",https://www.dreamjob.ma/emploi/snep-recrute-des-profils-experimentes-en-supply-chain-finance-et-maintenance/
Liste des Convoqués Concours de Recrutement ONCF 2025 (170 Postes),Non spécifié,Non spécifié,Ferroviaire,Non spécifié,Bac+3,30 ans,Non spécifié,Non spécifié,"Initiative, Innovation, Organisé, Rigueur",https://www.dreamjob.ma/emploi-public/liste-des-convoques-concours-de-recrutement-oncf-2025-170-postes/
SNEP recrute des profils expérimentés – Postulez dès maintenant,SNEP,Mohammedia,"Agroalimentaire, Automobile, Btp, Logistique",Non spécifié,Non spécifié,8 ans,Non spécifié,Non spécifié,"Communication, Innovation",https://www.dreamjob.ma/emploi/snep-recrute-des-profils-experimentes-postulez-des-maintenant/
Groupe Dama recrute Plusieurs Profils pour son Client Fluoralpha,Groupe Dama,Non spécifié,"Chimie, Logistique, Procédés",Non spécifié,"Bac+2, bac+3, bac+5",5 à 10 ans,"ERP, SAP","Français, Anglais, Arabe","Communication, Innovation, Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/groupe-dama-recrute-plusieurs-profils-pour-son-client-fluoralpha/
(6) Offres d’emploi et stages PFE chez Saint-Gobain – Postulez dès maintenant,Non spécifié,Non spécifié,"Btp, Chimie, Construction, Procédés",Stage,Bac+5,0 à 2 ans,"ERP, SAP","Français, Anglais","Communication, Organisation, Rigueur",https://www.dreamjob.ma/emploi/6-offres-demploi-et-stages-pfe-chez-saint-gobain-postulez-des-maintenant/
Gestamp recherche des Techniciens Outilleurs pour son site de Kénitra,Non spécifié,Kénitra,Automobile,Stage,Bac+3,Non spécifié,Non spécifié,Non spécifié,"Innovation, Rigueur",https://www.dreamjob.ma/emploi/gestamp-recherche-des-techniciens-outilleurs-pour-son-site-de-kenitra/
Emploi en agriculture: Plusieurs postes disponibles chez Pepper World,Non spécifié,Biougra,Agroalimentaire,Non spécifié,Bac+2,Non spécifié,Non spécifié,Non spécifié,"Leadership, Organisation, Rigueur, Résolution de problèmes",https://www.dreamjob.ma/emploi/emploi-en-agriculture-plusieurs-postes-disponibles-chez-pepper-world/
JTEKT recrute des Chargés de Méthodes Assemblage à Tanger – Opportunité en CDI,JTEKT,Tanger,Automobile,CDI,Bac+3,3 ans,AMDEC,Non spécifié,"Innovation, Leadership, Rigueur",https://www.dreamjob.ma/emploi/jtekt-recrute-des-charges-de-methodes-assemblage-a-tanger-opportunite-en-cdi/
Touax Maroc recrute: plusieurs postes ouverts en 2025,Touax Maroc,Non spécifié,"Btp, Construction, Logistique",Non spécifié,"Bac+2, bac+3, bac+5",5 ans,"DAO, Excel, Lean, Six sigma",Non spécifié,Communication,https://www.dreamjob.ma/emploi/touax-maroc-recrute-plusieurs-postes-ouverts-en-2025/
Concours de Recrutement ONCF 2025 (170 Postes),Non spécifié,Non spécifié,Ferroviaire,Non spécifié,Bac+3,30 ans,Non spécifié,Non spécifié,"Initiative, Innovation, Organisé, Rigueur",https://www.dreamjob.ma/emploi-public/concours-de-recrutement-oncf-2025-170-postes/
Nestlé recrute: 6 opportunités à pourvoir immédiatement,Nestlé,Non spécifié,"Agroalimentaire, Logistique",Non spécifié,"Bac+2, bac+3",2 ans,"Excel, SAP","Français, Anglais","Autonomie, Communication, Initiative, Innovation, Leadership, Organisation, Relationnel, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/nestle-recrute-6-opportunites-a-pourvoir-immediatement/
